East Bay Chamber of Commerce ,U.S. Chamber Member,www.eastbaychamberri.org,(401)245-0750," 16 Cutler St, Suite 102 "," Warren, RI 02885 ",
Northern Rhode Island Chamber of Commerce ,U.S. Chamber Member,www.nrichamber.com,(401)334-1005," 6 Blackstone Valley Pl, Suite 402 "," Lincoln, RI 02865 ",
Central Rhode Island Chamber of Commerce ,,www.centralrichamber.com,(401)732-1100, 3288 Post Rd," Warwick, RI 02886 ",
Charlestown Chamber of Commerce ,,www.charlestownrichamber.com/,(401)364-3878, 4945 Old Post Rd," Charlestown, RI 02813 ",
East Greenwich Chamber of Commerce ,,www.eastgreenwichchamber.com,(401)885-0020, 580 Main St," East Greenwich, RI 02818 ",
Greater Cranston Chamber of Commerce ,,www.cranstonchamber.com,(401)785-3780," 200 Midway Rd, Ste 165 "," Cranston, RI 02920 ",
Greater Providence Chamber of Commerce ,,www.provchamber.com,(401)521-5000, 30 Exchange Terr," Providence, RI 02903 ",
Narragansett Chamber of Commerce ,,narragansettcoc.com,(401)783-7121, PO Box 742," Narragansett, RI 02882 ",
North Kingstown Chamber of Commerce ,,www.northkingstown.com,(401)295-5566, 8045 Post Rd," North Kingstown, RI 02852 ",
Ocean Community Chamber of Commerce ,,www.oceanchamber.org/,(401)596-7761, 1 Chamber Way," Westerly, RI 02891 ",
Southern Rhode Island Chamber of Commerce ,,www.skchamber.com,(401)783-2801, 230 Old Tower Hill Rd," Wakefield, RI 02879 ",
Block Island Chamber of Commerce ,,www.blockislandchamber.com,(401)466-2982, PO Box D," Block Island, RI 02807 ",
East Providence Area Chamber of Commerce ,,www.eastprovidenceareachamber.com,(401)438-1212, 1011 Waterman Ave," East Providence, RI 02914 ",
Newport County Chamber of Commerce ,,www.newportchamber.com,(401)847-1600, 35 Valley Rd.," Middletown, RI 02842 ",
